exp(0) = 1, error = 0
exp(0.001) = 1, error = 0.00100052
exp(0.002) = 1.00195, error = 4.87805e-05
exp(0.003) = 1.00195, error = 0.00104938
exp(0.004) = 1.00391, error = 0.000101409
exp(0.005) = 1.00391, error = 0.00110196
exp(0.006) = 1.00586, error = 0.000157743
exp(0.007) = 1.00586, error = 0.00115836
exp(0.008) = 1.00781, error = 0.000217881
exp(0.009) = 1.00781, error = 0.00121857
exp(0.01) = 1.00977, error = 0.000281801
exp(0.011) = 1.00977, error = 0.00128256
exp(0.012) = 1.01172, error = 0.000349479
exp(0.013) = 1.01172, error = 0.00135031
exp(0.014) = 1.01367, error = 0.000420778
exp(0.015) = 1.01367, error = 0.0014218
exp(0.016) = 1.01562, error = 0.000495911
exp(0.017) = 1.01562, error = 0.00149689
exp(0.018) = 1.01758, error = 0.000574738
exp(0.019) = 1.01758, error = 0.00157578
exp(0.02) = 1.01953, error = 0.000657239
exp(0.021) = 1.01953, error = 0.00165836
exp(0.022) = 1.02148, error = 0.000743392
exp(0.023) = 1.02148, error = 0.0017447
exp(0.024) = 1.02344, error = 0.000833293
exp(0.025) = 1.02344, error = 0.00183467
exp(0.026) = 1.02539, error = 0.000926804
exp(0.027) = 1.02539, error = 0.00192825
exp(0.028) = 1.02734, error = 0.00102391
exp(0.029) = 1.02734, error = 0.00202542
exp(0.03) = 1.0293, error = 0.00112469
exp(0.031) = 1.03125, error = 0.000228419
exp(0.032) = 1.03125, error = 0.00122914
exp(0.033) = 1.0332, error = 0.000336213
exp(0.034) = 1.0332, error = 0.00133712
exp(0.035) = 1.03516, error = 0.000447745
exp(0.036) = 1.03516, error = 0.00144861
exp(0.037) = 1.03711, error = 0.000562765
exp(0.038) = 1.03711, error = 0.00156381
exp(0.039) = 1.03906, error = 0.000681368
exp(0.04) = 1.03906, error = 0.00168248
exp(0.041) = 1.04102, error = 0.000803534
exp(0.042) = 1.04102, error = 0.00180483
exp(0.043) = 1.04297, error = 0.000929243
exp(0.044) = 1.04297, error = 0.00193061
exp(0.045) = 1.04492, error = 0.00105836
exp(0.046) = 1.04492, error = 0.00206002
exp(0.047) = 1.04688, error = 0.0011911
exp(0.048) = 1.04688, error = 0.00219282
exp(0.049) = 1.04883, error = 0.00132743
exp(0.05) = 1.04883, error = 0.00232922
exp(0.051) = 1.05078, error = 0.00146711
exp(0.052) = 1.05078, error = 0.00246909
