ln(1) = 0.00146484, error = 1
ln(2) = 0.694824, error = 0.00241361
ln(3) = 1.03271, error = 0.0638099
ln(4) = 1.3877, error = 0.00100955
ln(5) = 1.59131, error = 0.0113927
ln(6) = 1.72559, error = 0.0383485
ln(7) = 1.84912, error = 0.0523432
ln(8) = 2.08105, error = 0.000775155
ln(9) = 2.1958, error = 0.000648436
ln(10) = 2.28467, error = 0.00784235
ln(11) = 2.33496, error = 0.0269531
ln(12) = 2.41895, error = 0.0272686
ln(13) = 2.48242, error = 0.0332447
ln(14) = 2.54248, error = 0.0379853
ln(15) = 2.54248, error = 0.0651214
ln(16) = 2.77393, error = 0.000482007
ln(17) = 2.83398, error = 0.000272071
ln(18) = 2.88867, error = 0.00058848
ln(19) = 2.93018, error = 0.00486768
ln(20) = 2.97754, error = 0.00611016
ln(21) = 3.01221, error = 0.0107282
ln(22) = 3.02783, error = 0.0208765
ln(23) = 3.06934, error = 0.0215546
ln(24) = 3.11182, error = 0.0212858
ln(25) = 3.14014, error = 0.0250751
ln(26) = 3.17529, error = 0.0260774
ln(27) = 3.21387, error = 0.025505
ln(28) = 3.23535, error = 0.0299359
ln(29) = 3.23535, error = 0.040782
ln(30) = 3.23535, error = 0.0512605
ln(31) = 3.23535, error = 0.0613954
ln(32) = 3.46729, error = 0.000446818
ln(33) = 3.49805, error = 0.000440026
ln(34) = 3.52734, error = 0.000278747
ln(35) = 3.55322, error = 0.00059819
ln(36) = 3.58203, error = 0.000415332
ln(37) = 3.59668, error = 0.00395868
ln(38) = 3.62354, error = 0.00387769
ln(39) = 3.64551, error = 0.00495233
ln(40) = 3.6709, error = 0.00489827
ln(41) = 3.69775, error = 0.00427776
ln(42) = 3.70557, error = 0.00866353
ln(43) = 3.69824, error = 0.0170238
ln(44) = 3.72119, error = 0.0169296
ln(45) = 3.74463, error = 0.016566
ln(46) = 3.7627, error = 0.0175263
ln(47) = 3.78369, error = 0.0175638
ln(48) = 3.80518, error = 0.0173514
ln(49) = 3.81396, error = 0.0204132
ln(50) = 3.8335, error = 0.0204844
ln(51) = 3.85449, error = 0.0200632
ln(52) = 3.86865, error = 0.0213489
ln(53) = 3.89014, error = 0.0206047
ln(54) = 3.90723, error = 0.0209247
ln(55) = 3.92676, error = 0.0205196
ln(56) = 3.92871, error = 0.0245985
ln(57) = 3.92871, error = 0.0291038
ln(58) = 3.92871, error = 0.0335306
ln(59) = 3.92871, error = 0.0378818
ln(60) = 3.92871, error = 0.0421598
ln(61) = 3.92871, error = 0.0463671
ln(62) = 3.92871, error = 0.050506
ln(63) = 3.92871, error = 0.0545786
ln(64) = 4.16016, error = 0.000306035
ln(65) = 4.17578, error = 0.000333781
ln(66) = 4.19092, error = 0.0003014
ln(67) = 4.20654, error = 0.000439822
ln(68) = 4.22021, error = 0.000167562
