cos(0) = 0.999939, error = 6.10352e-05
sin(0) = 0.000427246, error = inf

cos(1) = 0.999634, error = 0.000213939
sin(1) = 0.0180054, error = 0.0316841

cos(2) = 0.999268, error = 0.000123324
sin(2) = 0.0354614, error = 0.0161014

cos(3) = 0.998596, error = 3.33891e-05
sin(3) = 0.0529175, error = 0.0111114

cos(4) = 0.997559, error = 5.46983e-06
sin(4) = 0.0704956, error = 0.0105959

cos(5) = 0.996033, error = 0.000162602
sin(5) = 0.0869751, error = 0.00207267

cos(6) = 0.994446, error = 7.65137e-05
sin(6) = 0.104431, error = 0.000930951

cos(7) = 0.992554, error = 7.61607e-06
sin(7) = 0.121765, error = 0.000855069

cos(8) = 0.990112, error = 0.000157295
sin(8) = 0.139404, error = 0.00166121

cos(9) = 0.987671, error = 1.76596e-05
sin(9) = 0.156616, error = 0.0011618

cos(10) = 0.98468, error = 0.000129545
sin(10) = 0.174072, error = 0.00244223

cos(11) = 0.981567, error = 6.09199e-05
sin(11) = 0.191162, error = 0.00185062

cos(12) = 0.977844, error = 0.00031014
sin(12) = 0.208435, error = 0.00251726

cos(13) = 0.974182, error = 0.000192879
sin(13) = 0.225403, error = 0.00200834

cos(14) = 0.970093, error = 0.000209166
sin(14) = 0.242615, error = 0.00286394

cos(15) = 0.965759, error = 0.000172424
sin(15) = 0.25946, error = 0.0024782

cos(16) = 0.960876, error = 0.000400756
sin(16) = 0.27655, error = 0.0033121

cos(17) = 0.956482, error = 0.000185273
sin(17) = 0.291443, error = 0.00317689

cos(18) = 0.951294, error = 0.000249648
sin(18) = 0.308105, error = 0.00294976

cos(19) = 0.945251, error = 0.000282502
sin(19) = 0.32605, error = 0.00147941

cos(20) = 0.939331, error = 0.000384771
sin(20) = 0.342651, error = 0.00184558

cos(21) = 0.933289, error = 0.000312616
sin(21) = 0.359009, error = 0.00178822

cos(22) = 0.92688, error = 0.000327844
sin(22) = 0.375427, error = 0.00219071

cos(23) = 0.920166, error = 0.0003681
sin(23) = 0.391602, error = 0.00222771

cos(24) = 0.91394, error = 0.000432351
sin(24) = 0.405884, error = 0.00209682

cos(25) = 0.906677, error = 0.000407653
sin(25) = 0.421936, error = 0.00161429

cos(26) = 0.899109, error = 0.000350292
sin(26) = 0.437805, error = 0.00129108

cos(27) = 0.891296, error = 0.00032532
sin(27) = 0.45343, error = 0.00123422

cos(28) = 0.883301, error = 0.000400011
sin(28) = 0.468994, error = 0.00101694

cos(29) = 0.874634, error = 1.61006e-05
sin(29) = 0.484558, error = 0.000518791

cos(30) = 0.866211, error = 0.000214236
sin(30) = 0.499695, error = 0.000610352

cos(31) = 0.8573, error = 0.000154584
sin(31) = 0.514893, error = 0.000282497

cos(32) = 0.848145, error = 0.000113714
sin(32) = 0.529785, error = 0.000253072

cos(33) = 0.838989, error = 0.000379994
sin(33) = 0.543945, error = 0.00127373

cos(34) = 0.829407, error = 0.000445294
sin(34) = 0.558472, error = 0.00128976

cos(35) = 0.819519, error = 0.000448023
sin(35) = 0.572937, error = 0.0011148

cos(36) = 0.809448, error = 0.000533052
sin(36) = 0.587097, error = 0.00117064

cos(37) = 0.798828, error = 0.00024118
sin(37) = 0.60144, error = 0.00062244

cos(38) = 0.788269, error = 0.000327774
sin(38) = 0.615295, error = 0.000594588

cos(39) = 0.777344, error = 0.000254506
sin(39) = 0.628967, error = 0.000561091

cos(40) = 0.766296, error = 0.000328889
sin(40) = 0.642517, error = 0.000420854

cos(41) = 0.754883, error = 0.000229535
sin(41) = 0.655884, error = 0.00026711

cos(42) = 0.743286, error = 0.000190148
sin(42) = 0.669067, error = 9.44861e-05

cos(43) = 0.731384, error = 4.1807e-05
sin(43) = 0.682007, error = 1.2428e-05

cos(44) = 0.719238, error = 0.000141128
sin(44) = 0.694763, error = 0.000150884

cos(45) = 0.707397, error = 0.000411083
sin(45) = 0.706848, error = 0.000365767

cos(46) = 0.694763, error = 0.000150884
sin(46) = 0.719238, error = 0.000141128

cos(47) = 0.682007, error = 1.2428e-05
sin(47) = 0.731384, error = 4.1807e-05

cos(48) = 0.669067, error = 9.44861e-05
sin(48) = 0.743286, error = 0.000190148

cos(49) = 0.655884, error = 0.00026711
sin(49) = 0.754883, error = 0.000229535

cos(50) = 0.642517, error = 0.000420854
sin(50) = 0.766296, error = 0.000328889

cos(51) = 0.628967, error = 0.000561091
sin(51) = 0.777344, error = 0.000254506

cos(52) = 0.615295, error = 0.000594588
sin(52) = 0.788269, error = 0.000327774

cos(53) = 0.60144, error = 0.00062244
sin(53) = 0.798828, error = 0.00024118

cos(54) = 0.587097, error = 0.00117064
sin(54) = 0.809448, error = 0.000533052

cos(55) = 0.572937, error = 0.0011148
sin(55) = 0.819519, error = 0.000448023

cos(56) = 0.558472, error = 0.00128976
sin(56) = 0.829407, error = 0.000445294

cos(57) = 0.543945, error = 0.00127373
sin(57) = 0.838989, error = 0.000379994

cos(58) = 0.529785, error = 0.000253072
sin(58) = 0.848145, error = 0.000113714

cos(59) = 0.514893, error = 0.000282497
sin(59) = 0.8573, error = 0.000154584

cos(60) = 0.499695, error = 0.000610352
sin(60) = 0.866211, error = 0.000214236

cos(61) = 0.484558, error = 0.000518791
sin(61) = 0.874634, error = 1.61006e-05

cos(62) = 0.468994, error = 0.00101694
sin(62) = 0.883301, error = 0.000400011

cos(63) = 0.45343, error = 0.00123422
sin(63) = 0.891296, error = 0.00032532

cos(64) = 0.437805, error = 0.00129108
sin(64) = 0.899109, error = 0.000350292

cos(65) = 0.421936, error = 0.00161429
sin(65) = 0.906677, error = 0.000407653

cos(66) = 0.405884, error = 0.00209682
sin(66) = 0.91394, error = 0.000432351

cos(67) = 0.391602, error = 0.00222771
sin(67) = 0.920166, error = 0.0003681

cos(68) = 0.375427, error = 0.00219071
sin(68) = 0.92688, error = 0.000327844

cos(69) = 0.359009, error = 0.00178822
sin(69) = 0.933289, error = 0.000312616

cos(70) = 0.342651, error = 0.00184558
sin(70) = 0.939331, error = 0.000384771

cos(71) = 0.32605, error = 0.00147941
sin(71) = 0.945251, error = 0.000282502

cos(72) = 0.308105, error = 0.00294976
sin(72) = 0.951294, error = 0.000249648

cos(73) = 0.291443, error = 0.00317689
sin(73) = 0.956482, error = 0.000185273

cos(74) = 0.27655, error = 0.0033121
sin(74) = 0.960876, error = 0.000400756

cos(75) = 0.25946, error = 0.0024782
sin(75) = 0.965759, error = 0.000172424

